plot,date,time,temp,rec_time
A,180520,1211,27.4,43860
A,180520,1226,27.8,44760
A,180520,1241,28.4,45660
A,180520,1256,29.0,46560
A,180520,1311,29.0,47460
A,180520,1326,28.9,48360
A,180520,1341,28.8,49260
A,180520,1356,29.6,50160
A,180520,1411,28.6,51060
A,180520,1426,28.1,51960
A,180520,1441,29.2,52860
A,180520,1456,28.7,53760
A,180520,1511,28.5,54660
A,180520,1526,28.1,55560
A,180520,1541,26.3,56460
A,180520,1556,24.4,57360
A,180520,1611,23.6,58260
A,180520,1626,22.6,59160
A,180520,1641,22.2,60060
A,180520,1656,21.9,60960
A,180520,1711,21.7,61860
A,180520,1726,21.6,62760
A,180520,1741,21.4,63660
A,180520,1756,21.3,64560
A,180520,1811,21.4,65460
A,180520,1826,21.4,66360
A,180520,1841,21.4,67260
A,180520,1856,21.4,68160
A,180520,1911,21.5,69060
A,180520,1926,21.4,69960
A,180520,1941,21.6,70860
A,180520,1956,21.6,71760
A,180520,2011,21.5,72660
A,180520,2026,21.5,73560
A,180520,2041,21.4,74460
A,180520,2056,21.3,75360
A,180520,2111,21.1,76260
A,180520,2126,21.0,77160
A,180520,2141,21.0,78060
A,180520,2156,20.9,78960
A,180520,2211,20.8,79860
A,180520,2226,20.7,80760
A,180520,2241,20.4,81660
A,180520,2256,20.5,82560
A,180520,2311,20.5,83460
A,180520,2326,20.6,84360
A,180520,2341,20.7,85260
A,180520,2356,20.8,86160
A,180521,0011,20.7,660
A,180521,0026,20.5,1560
A,180521,0041,20.3,2460
A,180521,0056,20.2,3360
A,180521,0111,20.0,4260
A,180521,0126,20.0,5160
A,180521,0141,19.8,6060
A,180521,0156,19.7,6960
A,180521,0211,19.7,7860
A,180521,0226,19.7,8760
A,180521,0241,19.7,9660
A,180521,0256,19.8,10560
A,180521,0311,19.9,11460
A,180521,0326,20.0,12360
A,180521,0341,20.2,13260
A,180521,0356,20.2,14160
A,180521,0411,20.1,15060
A,180521,0426,20.1,15960
A,180521,0441,20.1,16860
A,180521,0456,20.1,17760
A,180521,0511,20.1,18660
A,180521,0526,20.0,19560
A,180521,0541,20.0,20460
A,180521,0556,20.1,21360
A,180521,0611,19.9,22260
A,180521,0626,19.9,23160
A,180521,0641,19.8,24060
A,180521,0656,19.9,24960
A,180521,0711,19.9,25860
A,180521,0726,19.9,26760
A,180521,0741,19.9,27660
A,180521,0756,20.0,28560
A,180521,0811,20.0,29460
A,180521,0826,20.0,30360
A,180521,0841,20.0,31260
A,180521,0856,20.3,32160
A,180521,0911,20.4,33060
A,180521,0926,20.5,33960
A,180521,0941,20.7,34860
A,180521,0956,20.9,35760
A,180521,1011,21.0,36660
A,180521,1026,21.0,37560
A,180521,1041,21.0,38460
A,180521,1056,21.2,39360
A,180521,1111,21.3,40260
A,180521,1126,21.4,41160
A,180521,1141,21.4,42060
A,180521,1156,21.4,42960
A,180521,1211,21.5,43860
A,180521,1226,21.6,44760
A,180521,1241,21.7,45660
A,180521,1256,22.2,46560
A,180521,1311,22.2,47460
A,180521,1326,22.3,48360
A,180521,1341,22.5,49260
A,180521,1356,22.5,50160
A,180521,1411,22.5,51060
A,180521,1426,22.6,51960
A,180521,1441,22.8,52860
A,180521,1456,22.9,53760
A,180521,1511,22.9,54660
A,180521,1526,22.8,55560
A,180521,1541,22.9,56460
A,180521,1556,22.9,57360
A,180521,1611,23.0,58260
A,180521,1626,23.5,59160
A,180521,1641,24.0,60060
A,180521,1656,24.3,60960
A,180521,1711,24.5,61860
A,180521,1726,24.2,62760
A,180521,1741,24.1,63660
A,180521,1756,24.4,64560
A,180521,1811,24.9,65460
A,180521,1826,25.0,66360
A,180521,1841,25.0,67260
A,180521,1856,24.8,68160
A,180521,1911,24.6,69060
A,180521,1926,24.4,69960
A,180521,1941,24.2,70860
A,180521,1956,24.1,71760
A,180521,2011,23.9,72660
A,180521,2026,23.8,73560
A,180521,2041,23.7,74460
A,180521,2056,23.6,75360
A,180521,2111,23.6,76260
A,180521,2126,23.3,77160
A,180521,2141,22.9,78060
A,180521,2156,22.6,78960
A,180521,2211,22.3,79860
A,180521,2226,22.1,80760
A,180521,2241,21.8,81660
A,180521,2256,21.6,82560
A,180521,2311,21.6,83460
A,180521,2326,21.4,84360
A,180521,2341,21.2,85260
A,180521,2356,21.1,86160
A,180522,0011,21.0,660
A,180522,0026,20.9,1560
A,180522,0041,20.8,2460
A,180522,0056,20.7,3360
A,180522,0111,20.6,4260
A,180522,0126,20.5,5160
A,180522,0141,20.4,6060
A,180522,0156,20.3,6960
A,180522,0211,20.2,7860
A,180522,0226,20.1,8760
A,180522,0241,19.9,9660
A,180522,0256,19.9,10560
A,180522,0311,19.7,11460
A,180522,0326,19.7,12360
A,180522,0341,19.6,13260
A,180522,0356,19.6,14160
A,180522,0411,19.5,15060
A,180522,0426,19.3,15960
A,180522,0441,19.2,16860
A,180522,0456,19.1,17760
A,180522,0511,19.1,18660
A,180522,0526,19.0,19560
A,180522,0541,19.0,20460
A,180522,0556,18.9,21360
A,180522,0611,18.9,22260
A,180522,0626,18.8,23160
A,180522,0641,18.8,24060
A,180522,0656,18.7,24960
A,180522,0711,18.7,25860
A,180522,0726,18.6,26760
A,180522,0741,18.7,27660
A,180522,0756,18.6,28560
A,180522,0811,18.7,29460
A,180522,0826,18.9,30360
A,180522,0841,19.0,31260
A,180522,0856,19.2,32160
A,180522,0911,19.5,33060
A,180522,0926,20.0,33960
A,180522,0941,20.3,34860
A,180522,0956,20.6,35760
A,180522,1011,21.0,36660
A,180522,1026,21.2,37560
A,180522,1041,21.4,38460
A,180522,1056,21.6,39360
A,180522,1111,21.9,40260
A,180522,1126,22.5,41160
A,180522,1141,22.9,42060
A,180522,1156,23.3,42960
A,180522,1211,23.9,43860
A,180522,1226,24.3,44760
A,180522,1241,24.8,45660
A,180522,1256,25.4,46560
A,180522,1311,25.1,47460
A,180522,1326,25.0,48360
A,180522,1341,25.9,49260
A,180522,1356,26.3,50160
A,180522,1411,26.4,51060
A,180522,1426,26.8,51960
A,180522,1441,26.6,52860
A,180522,1456,26.0,53760
A,180522,1511,25.6,54660
A,180522,1526,25.6,55560
A,180522,1541,26.3,56460
A,180522,1556,27.0,57360
A,180522,1611,26.8,58260
A,180522,1626,26.2,59160
A,180522,1641,26.0,60060
A,180522,1656,26.2,60960
A,180522,1711,26.2,61860
A,180522,1726,26.0,62760
A,180522,1741,26.0,63660
A,180522,1756,25.5,64560
A,180522,1811,25.4,65460
A,180522,1826,25.3,66360
A,180522,1841,25.2,67260
A,180522,1856,25.1,68160
A,180522,1911,25.1,69060
A,180522,1926,25.0,69960
A,180522,1941,24.9,70860
A,180522,1956,24.8,71760
A,180522,2011,24.6,72660
A,180522,2026,24.5,73560
A,180522,2041,24.3,74460
A,180522,2056,24.2,75360
A,180522,2111,24.0,76260
A,180522,2126,23.8,77160
A,180522,2141,23.6,78060
A,180522,2156,23.3,78960
A,180522,2211,23.0,79860
A,180522,2226,22.9,80760
A,180522,2241,22.8,81660
A,180522,2256,22.5,82560
A,180522,2311,22.3,83460
A,180522,2326,22.2,84360
A,180522,2341,22.0,85260
A,180522,2356,21.8,86160
A,180523,0011,21.7,660
A,180523,0026,21.6,1560
A,180523,0041,21.5,2460
A,180523,0056,21.3,3360
A,180523,0111,21.2,4260
A,180523,0126,21.0,5160
A,180523,0141,21.0,6060
A,180523,0156,20.9,6960
A,180523,0211,20.8,7860
A,180523,0226,20.6,8760
A,180523,0241,20.5,9660
A,180523,0256,20.4,10560
A,180523,0311,20.3,11460
A,180523,0326,20.3,12360
A,180523,0341,20.2,13260
A,180523,0356,20.1,14160
