glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_hs_30m,min_diff_hs,n_cs_30m,min_diff_cs
3,180611,C,3.0,8,180611_C08_16_2_wavchunk38_f,180611_C08_16_2_wavchunk38_f,117.57875,121.9906875,106317.5788,106321.9907,22.1,3599.380595927784,1312.5,7.706364834044001,0,0,5714.017699999997,0,5286.799500000008
3,180611,C,0.0,15,180611_C15_16_1_wavchunk22_f,180611_C15_16_1_wavchunk22_f,583.5440833,588.9802083,68863.54408,68868.98021,26.5,4250.860416278911,1265.625,11.037316092636807,1,0,5511.045549999995,4,584.0229300000065
3,180611,C,0.0,17,180611_C17_16_1_wavchunk12_f,180611_C17_16_1_wavchunk12_f,159.7214375,170.4083542,62439.72144,62450.40835,28.4,2035.1028818667205,1242.1875,7.035483392200531,0,0,11934.868190000001,1,805.8634600000005
3,180611,C,0.0,20,180611_C20_16_1_wavchunk10_f,180611_C20_16_1_wavchunk10_f,553.8579792,557.7226458,61633.85798,61637.72265,28.7,4124.779457994947,3375.0,6.727617733310333,1,0,12740.731650000002,1,805.8634600000005
3,180611,C,0.0,22,180611_C22_16_1_wavchunk20_f,180611_C22_16_1_wavchunk20_f,231.6416042,318.4613333,67551.6416,67638.46133,27.0,2066.6579338705583,1406.25,13.53661504383761,0,0,6822.94803,4,184.80693999999494
3,180611,C,1.0,22,180611_C22_16_1_wavchunk21_f,180611_C22_16_1_wavchunk21_f,359.5211458,398.23325,68279.52115,68318.23325,26.7,2480.1075904872646,1593.75,5.169257278242453,0,0,6095.068480000002,4,488.25882000000274
3,180611,C,2.0,22,180611_C22_16_1_wavchunk48_f,180611_C22_16_1_wavchunk48_f,291.1314583,292.507625,84411.13146,84412.50763,24.3,2357.87043326854,351.5625,4.359937023131888,0,9,80.36136000000988,1,965.0500400000019
3,180611,C,0.0,23,180611_C23_16_2_wavchunk28_f,180611_C23_16_2_wavchunk28_f,110.7793125,114.9278542,101030.7793,101034.9279,22.0,2106.223493505638,1125.0,2.651534173655401,0,0,3281.938719999991,0,5286.799500000008
3,180611,E,0.0,17,180611_E17_08_chunk30_f,180611_E17_08_chunk30_f,555.0970625,569.8757708,46575.09706,46589.87577,29.0,1596.419379066285,656.25,5.032823181930833,0,0,16345.6096,4,862.7471700000024
3,180611,E,1.0,17,180611_E17_160_wavchunk0_f,180611_E17_160_wavchunk0_f,186.0901667,192.1944167,56226.09017,56232.19442,29.7,2755.5535372356844,281.25,5.733710119998362,0,0,8892.54335,0,3215.8821799999932
3,180611,E,2.0,17,180611_E17_160_wavchunk1_f,180611_E17_160_wavchunk1_f,557.4495833,559.2722083,57197.44958,57199.27221,29.2,2038.832005750372,1265.625,10.973058854458376,0,0,7921.183940000003,0,2244.522769999996
